"""%s"" contains not only digit characters.","""%s"" Mengandung tidak hanya digit karakter."
"""%s"" does not fit the entered date format.","""%s"" tidak sesuai dengan format tanggal masuk."
"""%s"" exceeds the allowed file size.","""%s""melebihi ukuran berkas yang diperbolehkan."
"""%s"" exceeds the allowed length.","""%s"" melebihi panjang yang diperbolehkan."
"""%s"" has not only alphabetic and digit characters.","""%s"" tidak hanya karakter abjad dan angka."
"""%s"" has not only alphabetic characters.","""%s"" tidak hanya karakter abjad."
"""%s"" height exceeds allowed value of %s px.","""%s"" tinggi melebihi nilai yang diperbolehkan %s px."
"""%s"" invalid type entered.","""%s"" jenis yang tidak valid dimasukkan."
"""%s"" is a required value.","""%s"" di butuhkan nilai."
"""%s"" is an empty string.","""%s"" adalah string kosong."
"""%s"" is not a valid URL.","""%s"" URL tidak valid."
"""%s"" is not a valid date.","""%s"" Tanggal tidak valid."
"""%s"" is not a valid email address.","""%s"" alamat email tidak valid."
"""%s"" is not a valid file","""%s"" berkas tidak valid"
"""%s"" is not a valid file extension.","""%s"" perluasan berkas tidak valid."
"""%s"" is not a valid file.","""%s"" berkas tidak valid."
"""%s"" is not a valid hostname.","""%s"" Nama host tidak valid."
"""%s"" is not a valid image format","""%s"" format gambar tidak valid."
"""%s"" length must be equal to or greater than %s characters.","""%s"" panjang harus sama atau lebih besar dari %s karakter."
"""%s"" length must be less than or equal to %s characters.","panjang ""%s"" harus kurang dari atau sama dengan karakter %s."
"""%s"" width exceeds allowed value of %s px.","lebar ""%s"" melebihi nilai yang diizinkan px%s."
'%value%' appears to be a DNS hostname but cannot extract TLD part,%nilai%' tampaknya menjadi nama host DNS tetapi tidak dapat mengekstrak bagian TLD
'%value%' appears to be a DNS hostname but cannot match TLD against known list,%nilai%'tampaknya menjadi nama host DNS tetapi tidak bisa cocok TLD terhadap daftar yang dikenal
'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%',%nilai%' tampaknya menjadi nama host DNS tetapi tidak bisa cocok terhadap skema nama host untuk TLD '%tld%'
'%value%' appears to be a DNS hostname but contains a dash in an invalid position,%nilai%' tampaknya menjadi nama host DNS tetapi mengandung tanda hubung dalam posisi tidak valid
'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded,%nilai%' tampaknya menjadi nama host DNS tetapi notasi Punycode yang diberikan tidak dapat diterjemahkan
