"# of Use","# Terpakai"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s Produk"
"(Copy data from: %s)","(Menyalin data dari: %s)"
"Catalog Section","Catalog Section"
"Catalog, Search","Katalog, Pencarian"
"Categories","Daftar Kategori"
"Categories Sitemap","Categories Sitemap"
"Category","Kategoru"
"Category API","Category API"
"Category Data","Data Kategori"
"Category Navigation:","Navigasi Kategori:"
"Category Products","Produk Kategori"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Category attributes API"
"Category delete error","Kesalahan dalam penghapusan Kategori"
"Category deleted","Kategori sudah dihapus"
"Category move error","Kesalahan dalam pemindahan Kategori"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category saved","Kategori Tersimpan"
"Change","Ubah"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","Ubah status"
"Check items to add to the cart or","Check items to add to the cart or"
"Choose an Option...","Pilih sebuah pilihan..."
"Choose option...","Pilih pilihan.."
"Clear All","Kosongkan Semua"
"Clear All Items","Kosongkan Semua"
"Close Window","Tutup Jendela"
"Collapse All","Collapse All"
"Comma-separated.","Comma-separated."
"Comparable","Comparable"
"Comparable on Front-end","Comparable on Front-end"
"Comparable on the Frontend","Comparable on the Frontend"
"Compare","Compare"
"Compare Products","Compare Products"
"Conditions Combination","Conditions Combination"
"Configurable Product","Configurable Product"
"Configurable Product Settings","Configurable Product Settings"
"Configure Product","Configure Product"
"Continue","Continue"
"Copy From Configurable","Copy From Configurable"
"Country/State","Country/State"
"Create","Create"
"Create (Upload)","Create (Upload)"
"Create Empty","Buat"
"Create Product Settings","Buat Pengaturan Produk"
"Create Simple Associated Product","Buat Varian Produk"
"Create new category","Create new category"
"Create new product","Create new product"
"Cross-sells","Cross-sells"
"Currently Shopping by:","Currently Shopping by:"
"Custom Design","Custom Design"
"Custom Options","Custom Options"
"Customer Group","Kelompok Pelanggan"
"Customers Reviews","Review Pelanggan"
"Customers Tagged Product","Produk hasil Tag Pelanggan"
"Customers for alert %s was successfuly added to queue","Pelanggan untuk peringatan %s berhasil diTambah ke antrian"
"Data Type for Saving in Database","Tipe Data untuk disimpan di Database"
"Date","Tanggal"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Fields Order","Date Fields Order"
"Date Subscribed","Date Subscribed"
"Datetime","Datetime"
"Decimal","Decimal"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Price","Default Price"
"Default Price Navigation Step","Default Price Navigation Step"
"Default Qty","Default Qty"
"Default Values","Default Values"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Delete","Delete"
"Delete Attribute","Delete Attribute"
"Delete Attribute Set","Delete Attribute Set"
"Delete Category","Delete Category"
"Delete Option","Delete Option"
"Delete Row","Delete Row"
"Delete Search","Hapus Pencarian"
"Delete Selected Group","Hapus Kelompok Terpilih"
"Delete category","Delete category"
"Delete product","Delete product"
"Depends on design theme","Depends on design theme"
"Design","Design"
"Details","Details"
"Disabled","Disabled"
"Disallowed file type.","Disallowed file type."
"Display in Suggested Terms","Display in Suggested Terms"
"Double click on a group to rename it","Double click on a group to rename it"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Downloadable Information","Downloadable Information"
"Duplicate","Duplicate"
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Edit","Ubah"
"Edit Attribute Set '%s'","Ubah Set Atribut '%s'"
"Edit Product Attribute","Ubah Atribut Produk"
"Edit Product Attribute ""%s""","Ubah Atribut Produk""%s"""
"Edit Search","Ubah Pencarian"
"Edit Search '%s'","Ubah Pencarian '%s'"
"Email","Email"
"Email to a Friend","Emailkan ke teman Anda"
"Empty","Kosong"
"Enabled","Aktif"
"Error during retrieval of option value: %s","Terjadi kesalahan saat penerimaan nilai pilihan: %s"
"Error while adding customers for %s alert. Message: %s","Terjadi kesalahan saat menambahkan pelanggan untuk peringatan %s . Pesan: %s"
"Error while saving this group. Group with the same name already exists.","Terjadi kesalahan saat penyimpanan kelompok ini. Kelompok dengan nama yang sama sudah ada."
"Error while saving this group. Please try again later.","Terjadi kesalahan saat penyimpanan kelompok ini. Coba lagi beberapa saat lagi."
"Exclude","Tidak Ikut"
"Expand All","Expand All"
"Failed","Failed"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Failed to copy file %s. Please, delete media with non-existing images and try again."
"Failed to move file: %s","Failed to move file: %s"
"Feature Products","Feature Products"
"Field is not complete","Field is not complete"
"File options format is not valid.","File options format is not valid."
"File upload failed","File upload failed"
"Filter model name must be declared","Saringan untuk nama model harus dideklarasikan"
"Filter must be as object. Set correct filter please","Saringan harus berupa obyek. Tolong set saringan dengan benar"
"Filterable (no results)","Dapat Disaring (tidak ada hasil)"
"Filterable (with results)","Dapat Disaring (dengan hasil)"
"Filters must be as array","Saringan harus berupa array"
"First Name","Nama Depan"
"Fixed","Tetap"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Untuk keperluan internal. Harus unik tanpa ada spasi"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Halaman Muka"
"Frontend Model","Model Halaman Muka"
"Frontend Properties","Properti Halaman Muka"
"Gallery","Galeri"
"General Information","Informasi Umum"
"Get special price","Get special price"
"Global","Global"
"Globally Editable","Dapat diubah secara Global"
"Go to Home Page","Go to Home Page"
"Grid","Grid"
"Grouped Product","Kelompok Produk"
"Groups","Kelompok Pelanggan"
"Home","Beranda"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","If empty, the Category Name will be used"
"If empty, the Product Name will be used","If empty, the Product Name will be used"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Image"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image does not exist.","Image does not exist."
"Image file was not found.","Image file was not found."
"Image type and information need to be specified for each store view.","Image type and information need to be specified for each store view."
"In Stock","In Stock"
"In stock","In stock"
"Incl. Tax","Incl. Tax"
"Input Type","Input Type"
"Input Validation for Store Owner","Masukan Validari untuk Pemilik Toko"
"Integer","Integer"
"Integer Number","Angka Integer"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Spesifikasi atribut pilihan tidak valid untuk atribut %s (%s), melewatkan record"
"Invalid attribute set specified, skipping the record","Set atribut tidak valid, melewatkan record"
"Invalid block: %s","Blok tidak valid: %s"
"Invalid category","Invalid category"
"Invalid category IDs","ID kategoti tidak valid"
"Invalid image file type","Tipe file gambar tidak valid"
"Invalid image type.","Invalid image type."
"Invalid option id specified for %s (%s), skipping the record","Spesifikasi id pilihan tidak valid untuk %s (%s), melewatkan record"
"Invalid product type specified, skipping the record","Tipe produk tidak valid, melewatkan record"
"Invalid store specified","Spesifikasi toko tidak valid"
"Invalid store specified, skipping the record","Spesifikasi toko tidak valid, melewatkan rekord"
"Inventory","Stok"
"Is Default","Adalah Patokan"
"Is Required","Is Required"
"Items %s to %s of %s total","Produk %s-%s dari %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Barang yang tidak ingin anda tampilkan dalam katalog dan pencarian harus memiliki status ""Tidak Aktif"" pada toko yang diinginkan."
"Label","Label"
"Last Name","Last Name"
"Last Notification","Last Notification"
"Layered Navigation","Layered Navigation"
"Learn More","Learn More"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Line %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"List","List"
"List Mode","Mode Daftar"
"Manage Attribute Sets","Kelola Set Atribut"
"Manage Attributes","Kelola Atribut"
"Manage Catalog Categories","Kelola Kategori"
"Manage Categories","Kelola Kategori"
"Manage Label / Options","Kelola Label / Pilihan"
"Manage Options (values of your attribute)","Kelola Pilihan (nilai dari atribut anda)"
"Manage Product Attributes","Kelola Atribut Produk"
"Manage Product Sets","Kelola Set Produk"
"Manage Products","Kelola  Produk"
"Manage Stock","Pencatatan Stok"
"Manage Titles (Size, Color, etc.)","Kelola Judul (Ukuran, Warna, dll.)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","Maksimum Kuantitas yang diperbolehkan dalam Keranjang Belanja."
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Maximum number of characters"
"Media Image","Gambar Media"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","Minimum Kuantitas yang diperbolehkan dalam Keranjang Belanja."
"Minimum Qty for Item's Status to be Out of Stock","Minimum Kuantitas agar Status Barang menjadi Tidak ada Stok"
"Missing SKU, skipping the record","Kehilangan SKU, melewatkan record"
"More Views","Gambar Selengkapnya"
"Move","Move"
"Move category in tree","Move category in tree"
"Must be in the allowed values list.","Must be in the allowed values list."
"N/A","N/A"
"Name","Name"
"Name in %s","Name in %s"
"New Product","New Product"
"New Product Attribute","New Product Attribute"
"New Products","New Products"
"New Products Grid Template","New Products Grid Template"
"New Products List Template","New Products List Template"
"New Root Category","New Root Category"
"New Search","New Search"
"New Set Name","New Set Name"
"New Subcategory","New Subcategory"
"Next","Next"
"No","No"
"No image","No image"
"No layout updates","No layout updates"
"No options of this product are available.","No options of this product are available."
"No product collections found.","No product collections found."
"None","None"
"Not Visible Individually","Not Visible Individually"
"Notify Low Stock RSS","Notify Low Stock RSS"
"Notify for Quantity Below","Notify for Quantity Below"
"Number of Products to Display","Number of Products to Display"
"Number of Uses","Number of Uses"
"Number of results<br/>(For the last time placed)","Number of results<br/>(For the last time placed)"
"OK","OK"
"OR","OR"
"Old Price:","Old Price:"
"Option validation failed to add product to cart.","Option validation failed to add product to cart."
"Option:","Option:"
"Options Control","Options Control"
"Options is required","Options is required"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Stok Habis"
"Out of stock","Stok Habis"
"Out of stock.","Stok Habis."
"PM","PM"
"Page Title Separator","Pembatas Judul Halaman"
"Page:","Halaman:"
"Parent Category","Kategori Atas"
"Pending","Tunda"
"Pending Reviews RSS","RSS dari review yang ditunda"
"Percentage","Persentasi"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on Close Window button if it won't be closed automatically","Tolong klik pada tombol Tutup Jendela jika tidak tertutup secara otomatis."
"Please enter a new group name","Tolong masukan nama kelompo yang baru"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","Tolong pilih satu atau beberapa atribu."
"Please select product(s)","Tolong pilih produk"
"Please select products for attributes update","Tolong pilih produk untuk atribut yangdiperbaharui"
"Please select static block ...","Tolong pilih blok statis ..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product required option(s).","Please specify the product required option(s)."
"Please specify the product\'s option(s).","Please specify the product\'s option(s)."
"Please specify the product\'s required option(s).","Please specify the product\'s required option(s)."
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
"Please specify time required option(s).","Please specify time required option(s)."
"Please wait...","Please wait..."
"Position","Position"
"Position in Layered Navigation","Position in Layered Navigation"
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Prev","Prev"
"Previous","Previous"
"Price","Price"
"Price Navigation Step Calculation","Price Navigation Step Calculation"
"Price Type","Price Type"
"Price is not available","Price is not available"
"Price values for options should be specified in system base currency.","Price values for options should be specified in system base currency."
"Price:","Price:"
"Price: %s","Price: %s"
"Print This Page","Print This Page"
"Product","Product"
"Product %s successfully added to compare list","Produk %s berhasil diTambah ke daftar perbandingan"
"Product %s successfully removed from compare list","Produk %s berhasil dibuang dari daftar perbandingan"
"Product API","Product API"
"Product Alerts","Product Alerts"
"Product Attribute","Product Attribute"
"Product Attributes","Product Attributes"
"Product Categories","Product Categories"
"Product Description","Product Description"
"Product Extra Info","Product Extra Info"
"Product Flat Data","Product Flat Data"
"Product ID","Product ID"
"Product Image Placeholders","Product Image Placeholders"
"Product Image Watermarks","Product Image Watermarks"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product In Websites","Produk dalam Website"
"Product Info Column","Product Info Column"
"Product Information","Informasi Produk"
"Product Name","Nama Produk"
"Product Reviews","Review Produk"
"Product Tags","Tag Produk"
"Product Tier Price API","Product Tier Price API"
"Product Type","Tipe Produk"
"Product URL Suffix","Product URL Suffix"
"Product attribute sets API","Product attribute sets API"
"Product attribute was successfully deleted","Atribut Produk telah berhasil dihapus"
"Product attribute was successfully saved","Atribut Produk telah berhasil disimpan"
"Product attributes API","Product attributes API"
"Product collection expected.","Product collection expected."
"Product is not loaded","Product is not loaded"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product name","Product name"
"Product types API","Product types API"
"Product was successfully created.","Produk berhasil dibuat."
"Product was successfully saved.","Produk berhasil disimpan."
"Product with this combination of attributes already associated to configurable.","Produk dengan kombinasi atribut ini telah diasosiasikan ke dapat dikonfigurasikan."
"Products","Produk"
"Products Information","Informasi Produk"
"Products Reviews","Review Produk"
"Products Sitemap","Peta Situs Produk"
"Products only","Hanya Produk"
"Products per Page on Grid default value","Products per Page on Grid default value"
"Products per Page on List allowed values","Products per Page on List allowed values"
"Products per Page on List default value","Products per Page on List default value"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Properties","Properti"
"Qty","Kuantitas"
"Qty Uses Decimals","Kuantitas Mengunakan Desimal"
"Qty for Item's Status to become Out of Stock","Qty for Item's Status to become Out of Stock"
"Quick Create","Buat"
"Quick Overview","Sinopsis"
"Quick simple product creation","Penambahan varian produk"
"Records for ""","Catatan untuk """
"Redirect","Redirect"
"Redirect URL","Redirect URL"
"Regular Price:","Harga Normal:"
"Related Products","Produk Sejenis"
"Remove","Buang"
"Remove Product","Buang Produk"
"Remove Product From Websites","Remove Product From Websites"
"Remove This Item","Buak Baran Ini"
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Required","Diperlukan"
"Reset","Reset"
"Results","Hasil"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","Review berhasil dihapus"
"Review was saved successfully","Review berhasil disimpan"
"Review was successfully saved","Review berhasil disimpan"
"Reviews","Review"
"Roll Over for preview","Taruh kursor pada gambar untuk contoh tampilan"
"Root","Root"
"SKU","SKU"
"SKU length should be %s characters maximum.","SKU length should be %s characters maximum."
"Save","Save"
"Save Attribute","Save Attribute"
"Save Attribute Set","Save Attribute Set"
"Save Category","Save Category"
"Save Search","Save Search"
"Save and Continue Edit","Save and Continue Edit"
"Saved %d record(s)","Saved %d record(s)"
"Scope","Scope"
"Search","Search"
"Search Engine Optimizations","Search Engine Optimizations"
"Search Information","Search Information"
"Search Query","Search Query"
"Search Term with such search query already exists.","Search Term with such search query already exists."
"Searchable","Searchable"
"Select Category...","Select Category..."
"Select Configurable Attributes ","Select Configurable Attributes "
"Select Product...","Select Product..."
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Pilih Tipe Produk"
"Selected configuration is not available.","Selected configuration is not available."
"Send Count","Banyak Terkirim"
"Set Ascending Direction","Set Arah secara Ascending"
"Set Descending Direction","Set Arah secara Descending"
"Set Name","Set Nama"
"Set Root Category For Store","Set Kategori Root untuk Toko"
"Set root category for this store in the <a href=""%s"">configuration</a>","Set kateogri root untuk toko ini di <a href=""%s"">konfigurasi</a>"
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Settings","Setelan"
"Shop by","Kriteria Produk"
"Shopping Options","Pilih sesuai keinginan"
"Show","Lihat"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Simple Product","Produk Sederhana"
"Site Map","Peta Situs"
"Sitemap","Sitemap"
"Skip import row, required field ""%s"" for the new customer is not defined.","Skip import row, required field ""%s"" for the new customer is not defined."
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Skipping import row, the value ""%s"" is not valid for the ""%s"" field."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Some of the products below do not have all the required options. Please edit them and configure all the required options."
"Sort By","Sort By"
"Sort Order","Sort Order"
"Source Model","Source Model"
"Special Expires On: %s","Special Expires On: %s"
"Special Price:","Special Price:"
"Special Price: %s","Special Price: %s"
"Starting at:","Starting at:"
"Static","Static"
"Static block and products","Static block and products"
"Static block only","Static block only"
"Status","Status"
"Stock Availability","Ketersediaan Stok"
"Store","Toko"
"Store View","Store View"
"Stretch","Renggang"
"Subscribe to Feed","Mendaftarkan diri ke Feed"
"Subscribe to RSS Feed","Mendaftarkan diri ke RSS Feed"
"Super product attributes configuration","Ubah konfigurasi atribut"
"Synonym For","Sinonim Untuk"
"Synonym for","Sinonim untuk "
"System","Sistem"
"System Properties","Properti Sistem"
"Tag Name","Nama tag"
"Tax","Tax"
"Template","Template"
"Text","Text"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module."
"The attribute model is not defined","The attribute model is not defined"
"The attribute set has been saved.","The attribute set has been saved."
"The base directory to upload file is not specified.","The base directory to upload file is not specified."
"The category has been deleted.","The category has been deleted."
"The category has been saved.","The category has been saved."
"The comparison list was cleared.","The comparison list was cleared."
"The email template is not specified by administrator.","The email template is not specified by administrator."
"The file you uploaded is larger than %s Megabytes allowed by server","The file you uploaded is larger than %s Megabytes allowed by server"
"The filters must be an array.","The filters must be an array."
"The image contents is not valid base64 data.","The image contents is not valid base64 data."
"The image is not specified.","The image is not specified."
"The product %s has been added to comparison list.","The product %s has been added to comparison list."
"The product %s has been removed from comparison list.","The product %s has been removed from comparison list."
"The product attribute has been deleted.","The product attribute has been deleted."
"The product attribute has been saved.","The product attribute has been saved."
"The product has been created.","The product has been created."
"The product has been deleted.","The product has been deleted."
"The product has been duplicated.","The product has been duplicated."
"The product has been saved.","The product has been saved."
"The product has required options","The product has required options"
"The review has been deleted","The review has been deleted"
"The review has been saved.","The review has been saved."
"The review was removed by another user or does not exist.","The review was removed by another user or does not exist."
"The search was deleted.","The search was deleted."
"The text is too long","The text is too long"
"There are no %s available.","There are no %s available."
"There are no customers for this alert","There are no customers for this alert"
"There are no customers for this alert.","There are no customers for this alert."
"There are no products matching the selection.","There are no products matching the selection."
"There was an error while request processing.","There was an error while request processing."
"This Attribute no longer exists","This Attribute no longer exists"
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be edited.","This attribute cannot be edited."
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","This attribute is used in configurable products. You cannot remove it from the attribute set."
"This attribute no longer exists","This attribute no longer exists"
"This attribute set no longer exists.","This attribute set no longer exists."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","Kelompok ini mengandung atribut sistem. Tolong pindahkan atribut sistem ke kelompok lain dan coba lagi."
"This is a required option","This is a required option"
