" The customer doesn't exist in the system anymore,""Pelanggan ini sudah tidak ada lagi disistem"";;;;",,,
" and ,"" dan "";;;;",,,
" note that the URLs provided below are the correct values for your current website): ,""dicatat bahwa URL yang diberikan dibawah ini adalah nilai yang benar untuk situs Anda saat ini): "";;;;",,,
"%s (Default Template from Locale),""%s (Kerangka standar dari lokal)"";;;;",,,
"%s cache type(s) disabled.,""%s Tipe cache(s) dinonaktifkan."";;;;",,,
"%s cache type(s) enabled.,""%s Tipe Cache(s) dinonaktifkan."";;;;",,,
"%s cache type(s) refreshed.,""%s Tipe cache(s) diperbarui."";;;;",,,
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir),""(Untuk jenis """"Server Lokal"""" perlu menggunakan jalur relatif Ke install Magento var/ekspor atau var/impor, contoh. var/ekspor, var/impor, var/ekspor/beberapa/dir, var/impor/beberapa/dir)"";;;;",,,
"(For US 2-letter state names),""(Untuk AS gunakan 2 huruf untuk negara bagian)"";;;;",,,
"(If left empty will be auto-generated),""(Jika ditinggalkan kosong akan digenerate secara otomatis)"";;;;",,,
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.),""(Termasuk Banyak Negara Yang tercantum dibawah ini.Sebagai Pemilik Aplikasi, Anda Bertanggung Jawab Untuk Mematuhi Hukum Negara Tertentu Terkait Deangan Distribusi Atau Penjualan Aplikasi Anda Ke Negara Tersebut, Termasuk Negara Anda.)"";;;;",,,
"(Leave empty for first spreadsheet),""(Tinggalkan kosong untuk spreadsheet pertama)"";;;;",,,
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.),""(Produk akan ditambah/diubah pada toko ini jika kolom 'toko' dibiarkan kosong atau hilang pada file import.)"";;;;",,,
"(Shift-)Click or drag to change value,""(Shift-)Klik atau geser untuk merubah nilai"";;;;",,,
"(Starting with),""(Dimulai dengan)"";;;;",,,
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.),""(Ketika 'Tidak', hanya field yang dipetakan yang akan diimport. Ketika memetakan, gunakan 'column1', 'column2', etc.)"";;;;",,,
"(You have to increase php memory_limit before changing this value),""(Anda harus menambah memori batas_Php sebelum merubah nilai)"";;;;",,,
"(\t for tab),""(\t untuk  tab)"";;;;",,,
"* - If indexing is in progress, it will be killed and new indexing process will start,""* - Apabila Pengindekan dalam progress, ini akan menonaktifkan dan akan memulai proses pengindekan baru"";;;;",,,
"Click on any of the time parts to increase it,""Klik dimana saja pada bagian waktu untuk meningkat nya"";;;;",,,
"Hold mouse button on any of the above buttons for faster selection.,"" Tahan tombol Mouse pada tombol apa saja diatas untuk memilih lebih cepat."";;;;",,,
"Use the %s buttons to select month,""- gunakan tombol %s untuk memilih bulan"";;;;",,,
"Use the %s, %s buttons to select year,""-gunakan tombol %s, %s untuk memilih tahun"";;;;",,,
"or Shift-click to decrease it,""- atau Shift-klik untuk mengurangi nya"";;;;",,,
"or click and drag for faster selection.,""- atau klik dan geser untuk memilih lebih cepat."";;;;",,,
"-- Please Select --,""-- Silahkan Pilih --"";;;;",,,
" Please select --,""-- silakan pilih --"";;;;",,,
"-- Please select a category --,""-- Silahkan pilih kategori --"";;;;",,,
"--Please Select--,""--Silahkan Pilih--"";;;;",,,
"1 Hour,""1 Jam"";;;;",,,
"10:40 AM,""10:40 AM"";;;;",,,
"12 Hours,""12 Jam"";;;;",,,
"12h AM/PM,""12h AM/PM"";;;;",,,
"2 Hours,""2 Jam"";;;;",,,
"24 Hours,""24 Jam"";;;;",,,
"24h,""24h"";;;;",,,
"2YTD,""2YTD"";;;;",,,
"6 Hours,""6 Hours"";;;;",,,
"80px x 80px,""80px x 80px"";;;;",,,
"80x80 px,""80x80 px"";;;;",,,
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>,""<h1 class=""""page-heading"""">404 Error</h1><p>Halaman tidak ditemukan..</p>"";;;;",,,
"A new password was sent to your email address. Please check your email and click Back to Login.,""Kata Sandi Baru dikirim ke alamat email Anda. Silakan cek email Anda dan klik kembali untuk masuk ."";;;;",,,
"A user with the same user name or email already exists.,""Pengguna Dengan nama pengguna atau email yang sama sudah ada ."";;;;",,,
"API Key,""API Kunci"";;;;",,,
"API Key Confirmation,""API konfirmasi Kunci"";;;;",,,
"ASCII,""ASCII"";;;;",,,
"Abandoned Carts,""Keranjang Yang diabaikan"";;;;",,,
"About the calendar,""Tentang penanggalan"";;;;",,,
"Access Denied.,""Akses ditolak."";;;;",,,
"Access Deny,""Akses Ditolak"";;;;",,,
"Account Created in:,""Akun Dibuat di:"";;;;",,,
"Account Created on (%s):,""Akun dibuat pada (%s):"";;;;",,,
"Account Created on:,""Akun Dibuat pada:"";;;;",,,
"Account Information,""Informasi Akun"";;;;",,,
"Account Status,""Status Akun"";;;;",,,
"Account status,""Status akun"";;;;",,,
"Action,""Aksi"";;;;",,,
"Actions,""Aksi"";;;;",,,
"Actions XML,""Actions XML"";;;;",,,
"Activate,""Aktifkan"";;;;",,,
"Active,""Aktif"";;;;",,,
"Add,""Tambah"";;;;",,,
"Add Contents Path,""Tambah Jalur Isi"";;;;",,,
"Add Exception,""menambahkan pengecualian"";;;;",,,
"Add Field Mapping,""Tambah Peta Bidang"";;;;",,,
"Add Field with URL:,""Tambahkan bidang denganURL:"";;;;",,,
"Add Maintainer,""Tambahkan Pengelola"";;;;",,,
"Add New Image,""Tambah Gambar Baru"";;;;",,,
"Add New Profile,""Tambah Profile Baru"";;;;",,,
"Add New Role,""Tambah Peran Baru"";;;;",,,
"Add New Template,""Tambah Kerangka Baru"";;;;",,,
"Add New Urlrewrite,""Tambah UrlTulis ulang Baru"";;;;",,,
"Add New User,""Tambah User Baru"";;;;",,,
"Add New osCommerce Profile,""Tambah profil OsCommerce baru"";;;;",,,"""Tambah profil os Comerce"";;;;"
"Add PHP Extension dependency,""menambah ketergantungan ekstensi php"";;;;",,,
"Add Package dependency,""tambah paket dependensi"";;;;",,,
"Add Subpackage dependency,""Tambah Subpaket dependensi"";;;;",,,
"Add Urlrewrite,""Tambah Tulis Ulang URL"";;;;",,,
"Add Urlrewrite for a Category,""Tambah Tulis Ulang URL Untuk Sebuah Kategori"";;;;",,,
"Add Urlrewrite for a Product,""Tambah URL Tulis Ulang Untuk Sebuah Produk"";;;;",,,
"Add after,""Tambah Setelah"";;;;",,,
"Add to Cart,""Tambah ke daftar Belanja"";;;;",,,
"Add to Wishlist,""Tambah ke Daftar Rencana Beli"";;;;",,,
"Additional Cache Management,""Tambahan Manajemen Cache"";;;;",,,
"Address Type:,""Jenis Alamat:"";;;;",,,
"Admin,""Admin"";;;;",,,
"Advanced Admin Section,""Lanjutan Bagian Admin"";;;;",,,
"Advanced Profiles,""Pofil Lanjutan"";;;;",,,
"Advanced Section,""Seksi Lanjutan"";;;;",,,
"AirMail Template Preview,""Peninjauan Contoh Surat"";;;;",,,
"All,""Semua"";;;;",,,
"All Allowed Countries,""Semua Negara yang Diperbolehkan"";;;;",,,
